date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:54	212/212	---M-Z	200	added ('OK')	text/plain	etag:%2283b-5e41e89198584-gzip%22	./robots.txt		(from )
08:00:54	93777/93777	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:30:54%20GMT	./	/home/lumiq/websites/wigs/localhost/index.html	(from )
08:00:55	5842/5842	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:30:55%20GMT	http://gmpg.org/xfn/11	/home/lumiq/websites/wigs/gmpg.org/xfn/11.html	(from ./)
08:00:56	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2019%20Jul%202022%2002:30:56%20GMT	./xmlrpc.php	/home/lumiq/websites/wigs/localhost/xmlrpc.php	(from ./)
08:00:57	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e41ee7153120-gzip%22	./wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	/home/lumiq/websites/wigs/localhost/wp-includes/css/dist/block-library/style.min37ad.css	(from ./)
08:00:58	14729/14729	---M-Z	200	added ('OK')	text/css	etag:%223989-5e41e891b69e3-gzip%22	./wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	/home/lumiq/websites/wigs/localhost/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from ./)
08:00:58	705/705	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d38972c53a1773d09bcc18d08041fd9c-gzip%22	./?feed=comments-rss2	/home/lumiq/websites/wigs/localhost/indexa6da.html	(from ./)
08:01:00	86530/86530	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:30:58%20GMT	http://s.w.org/	/home/lumiq/websites/wigs/s.w.org/index.html	(from ./)
08:01:00	30591/30591	---M-Z	200	added ('OK')	text/css	etag:%22777f-5e41e891a7f84-gzip%22	./wp-content/plugins/contact-widgets/assets/css/font-awesome.min.css?ver=4.7.0	/home/lumiq/websites/wigs/localhost/wp-content/plugins/contact-widgets/assets/css/font-awesome.min1849.css	(from ./)
08:01:01	79618/79618	---M-Z	200	added ('OK')	application/rss+xml	etag:%22acc9d112ce5ca194937497b3d6e4019d-gzip%22	./?feed=rss2	/home/lumiq/websites/wigs/localhost/indexd784.html	(from ./)
08:01:01	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22695-5e41e891a6fe4-gzip%22	./wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	/home/lumiq/websites/wigs/localhost/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from ./)
08:01:01	443/443	---M-Z	200	added ('OK')	text/css	etag:%221bb-5e41e891c15c3-gzip%22	./wp-content/themes/flatsome/assets/css/fl-icons.css?ver=3.0	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/assets/css/fl-icons6aec.css	(from ./)
08:01:02	294/294	---M-Z	200	added ('OK')	text/css	etag:%22126-5e41e891c44a3-gzip%22	./wp-content/themes/flatsome/inc/integrations/ninjaforms/ninjaforms.css?ver=6.0.1	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/inc/integrations/ninjaforms/ninjaforms37ad.css	(from ./)
08:01:03	639/639	---M-Z	200	added ('OK')	text/css	etag:%2227f-5e41e891a7f84-gzip%22	./wp-content/plugins/godaddy-email-marketing-sign-up-forms/css/gem.min.css?ver=1.4.2	/home/lumiq/websites/wigs/localhost/wp-content/plugins/godaddy-email-marketing-sign-up-forms/css/gem.min1159.css	(from ./)
08:01:04	1415/1415	---M-Z	200	added ('OK')	text/css	etag:%22587-5e41e891aece4-gzip%22	./wp-content/plugins/variation-swatches-for-woocommerce/assets/css/frontend.css?ver=20160615	/home/lumiq/websites/wigs/localhost/wp-content/plugins/variation-swatches-for-woocommerce/assets/css/frontendd0f1.css	(from ./)
08:01:05	143416/143416	---M-Z	200	added ('OK')	text/css	etag:%2223038-5e41e891c15c3-gzip%22	./wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.2.5	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/assets/css/flatsome2072.css	(from ./)
08:01:07	18048/18048	---M-Z	200	added ('OK')	text/css	etag:%224680-5e41e891c15c3-gzip%22	./wp-content/themes/flatsome/assets/css/flatsome-shop.css?ver=3.2.5	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/assets/css/flatsome-shop2072.css	(from ./)
08:01:07	303/303	---M-Z	200	added ('OK')	text/css	etag:%2212f-5e41e891c0623-gzip%22	./wp-content/themes/flatsome-child/style.css?ver=3.2.5	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome-child/style2072.css	(from ./)
08:01:08	1966/1966	---M-Z	200	added ('OK')	text/css	etag:%227ae-5e41e891aece4-gzip%22	./wp-content/plugins/storefront-sticky-add-to-cart/assets/css/style.css?ver=6.0.1	/home/lumiq/websites/wigs/localhost/wp-content/plugins/storefront-sticky-add-to-cart/assets/css/style37ad.css	(from ./)
08:01:11	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5e41ee714f299-gzip%22	./wp-includes/js/jquery/jquery.min.js?ver=3.6.0	/home/lumiq/websites/wigs/localhost/wp-includes/js/jquery/jquery.minaf6c.js	(from ./)
08:01:11	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5e41ee714f299-gzip%22	./wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/home/lumiq/websites/wigs/localhost/wp-includes/js/jquery/jquery-migrate.mind617.js	(from ./)
08:01:11	5067/5067	---M-Z	200	added ('OK')	application/javascript	etag:%2213cb-5e41e891a8f24-gzip%22	./wp-content/plugins/itr-popup/scripts/itro-scripts.js?ver=6.0.1	/home/lumiq/websites/wigs/localhost/wp-content/plugins/itr-popup/scripts/itro-scripts37ad.js	(from ./)
08:01:15	776/776	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Jul%202022%2002:31:14%20GMT	./xmlrpc.php?rsd	/home/lumiq/websites/wigs/localhost/xmlrpc0db0.php	(from ./)
08:01:16	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-5e41e891d0fc3-gzip%22	./wp-includes/wlwmanifest.xml	/home/lumiq/websites/wigs/localhost/wp-includes/wlwmanifest.xml	(from ./)
08:01:19	2323/2323	---M--	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:31:16%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F	/home/lumiq/websites/wigs/localhost/index6013.json	(from ./)
08:01:19	2398/2398	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Jul%202022%2002:31:17%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F&format=xml	/home/lumiq/websites/wigs/localhost/index85dd.php	(from ./)
08:01:21	39992/39992	---MC-	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:31:13%20GMT	./index.php?rest_route=/wp/v2/pages/336	/home/lumiq/websites/wigs/localhost/index9004.json	(from ./)
08:01:23	58767/58767	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:31:22%20GMT	./?page_id=1008	/home/lumiq/websites/wigs/localhost/indexeff9.html	(from ./)
08:01:24	1278/1278	---M--	200	added ('OK')	image/jpeg	etag:%224fe-5e41e891c15c3%22	./wp-content/themes/flatsome/assets/img/missing.jpg	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/assets/img/missing.jpg	(from ./)
08:01:25	64446/64446	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:31:23%20GMT	./?page_id=1178	/home/lumiq/websites/wigs/localhost/index3285.html	(from ./)
08:01:27	2923/2923	---M--	200	added ('OK')	image/png	etag:%22b6b-5e41e891c15c3%22	./wp-content/themes/flatsome/assets/img/logo.png	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/assets/img/logo.png	(from ./)
08:01:29	59872/59872	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:31:28%20GMT	./?page_id=329	/home/lumiq/websites/wigs/localhost/indexbf77.html	(from ./)
08:01:31	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	/home/lumiq/websites/wigs/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from ./)
08:01:33	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2019%20Jul%202022%2002:31:31%20GMT	./?page_id=5	/home/lumiq/websites/wigs/localhost/index48a6.html	(from ./)
08:01:37	47156/47156	---M--	200	added ('OK')	image/jpeg	etag:%22b834-5e41e891ce0e3%22	./wp-content/uploads/2018/08/LR-Hair-Extension-Sliding-banner-on-homepage1.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/LR-Hair-Extension-Sliding-banner-on-homepage1.jpg	(from ./)
08:01:53	121127/121127	---M--	200	added ('OK')	image/jpeg	etag:%221d927-5e41e891ce0e3%22	./wp-content/uploads/2018/08/index_banner02.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/index_banner02.jpg	(from ./)
